KẾT QUẢ FCFS (First-Come-First-Served)
==================================================
Số demands được chấp nhận (N): 185/200
Tỷ lệ chấp nhận: 92.5%
Bandwidth accepted: 1827.0 Mbps
Average utilization: 68.7%
Links >70%: 33

DEMANDS ĐƯỢC CHẤP NHẬN:
--------------------------------------------------
Seq 0: 2→9, BW=8.0 Mbps, Hops=1
Seq 1: 23→20, BW=11.0 Mbps, Hops=3
Seq 2: 6→16, BW=15.0 Mbps, Hops=2
Seq 3: 3→19, BW=9.0 Mbps, Hops=3
Seq 4: 24→4, BW=6.0 Mbps, Hops=4
Seq 5: 5→9, BW=11.0 Mbps, Hops=1
Seq 6: 9→1, BW=9.0 Mbps, Hops=3
Seq 7: 4→0, BW=12.0 Mbps, Hops=2
Seq 8: 7→13, BW=7.0 Mbps, Hops=2
Seq 9: 21→8, BW=5.0 Mbps, Hops=4
Seq 10: 6→11, BW=12.0 Mbps, Hops=4
Seq 11: 6→0, BW=10.0 Mbps, Hops=1
Seq 12: 18→17, BW=12.0 Mbps, Hops=1
Seq 13: 3→22, BW=14.0 Mbps, Hops=2
Seq 14: 14→10, BW=8.0 Mbps, Hops=1
Seq 15: 0→15, BW=7.0 Mbps, Hops=2
Seq 16: 2→18, BW=11.0 Mbps, Hops=2
Seq 17: 0→19, BW=14.0 Mbps, Hops=3
Seq 18: 19→0, BW=13.0 Mbps, Hops=3
Seq 19: 14→17, BW=10.0 Mbps, Hops=3
Seq 20: 11→8, BW=8.0 Mbps, Hops=2
Seq 21: 24→6, BW=12.0 Mbps, Hops=5
Seq 22: 10→20, BW=9.0 Mbps, Hops=3
Seq 23: 11→12, BW=11.0 Mbps, Hops=1
Seq 24: 15→23, BW=7.0 Mbps, Hops=3
Seq 25: 22→16, BW=12.0 Mbps, Hops=3
Seq 26: 19→20, BW=11.0 Mbps, Hops=1
Seq 27: 2→16, BW=19.0 Mbps, Hops=1
Seq 28: 8→3, BW=12.0 Mbps, Hops=1
Seq 29: 13→3, BW=10.0 Mbps, Hops=2
Seq 30: 14→5, BW=10.0 Mbps, Hops=1
Seq 31: 13→5, BW=9.0 Mbps, Hops=1
Seq 32: 11→4, BW=9.0 Mbps, Hops=3
Seq 33: 5→10, BW=8.0 Mbps, Hops=2
Seq 34: 21→2, BW=8.0 Mbps, Hops=1
Seq 35: 23→9, BW=18.0 Mbps, Hops=2
Seq 36: 6→7, BW=9.0 Mbps, Hops=1
Seq 37: 22→10, BW=10.0 Mbps, Hops=2
Seq 38: 6→12, BW=11.0 Mbps, Hops=4
Seq 39: 20→11, BW=7.0 Mbps, Hops=3
Seq 40: 3→12, BW=13.0 Mbps, Hops=3
Seq 41: 20→21, BW=6.0 Mbps, Hops=2
Seq 42: 4→12, BW=9.0 Mbps, Hops=3
Seq 43: 17→14, BW=11.0 Mbps, Hops=3
Seq 44: 18→12, BW=12.0 Mbps, Hops=4
Seq 45: 22→8, BW=7.0 Mbps, Hops=2
Seq 46: 24→10, BW=11.0 Mbps, Hops=3
Seq 47: 9→12, BW=10.0 Mbps, Hops=2
Seq 48: 20→13, BW=10.0 Mbps, Hops=2
Seq 49: 6→17, BW=10.0 Mbps, Hops=2
Seq 50: 2→19, BW=8.0 Mbps, Hops=2
Seq 51: 23→14, BW=15.0 Mbps, Hops=4
Seq 52: 12→10, BW=14.0 Mbps, Hops=2
Seq 53: 15→18, BW=10.0 Mbps, Hops=2
Seq 54: 1→5, BW=7.0 Mbps, Hops=3
Seq 55: 17→24, BW=8.0 Mbps, Hops=2
Seq 56: 13→10, BW=13.0 Mbps, Hops=1
Seq 57: 22→10, BW=9.0 Mbps, Hops=2
Seq 58: 14→16, BW=11.0 Mbps, Hops=3
Seq 59: 24→18, BW=13.0 Mbps, Hops=3
Seq 60: 4→0, BW=11.0 Mbps, Hops=2
Seq 61: 23→2, BW=8.0 Mbps, Hops=3
Seq 62: 12→8, BW=7.0 Mbps, Hops=2
Seq 63: 22→13, BW=13.0 Mbps, Hops=1
Seq 64: 22→12, BW=7.0 Mbps, Hops=2
Seq 65: 20→15, BW=8.0 Mbps, Hops=2
Seq 66: 6→24, BW=9.0 Mbps, Hops=5
Seq 67: 19→5, BW=8.0 Mbps, Hops=4
Seq 68: 13→15, BW=8.0 Mbps, Hops=1
Seq 69: 2→13, BW=12.0 Mbps, Hops=2
Seq 70: 23→5, BW=16.0 Mbps, Hops=3
Seq 71: 13→7, BW=9.0 Mbps, Hops=2
Seq 72: 24→3, BW=11.0 Mbps, Hops=4
Seq 73: 22→12, BW=4.0 Mbps, Hops=2
Seq 74: 2→24, BW=9.0 Mbps, Hops=4
Seq 75: 14→10, BW=10.0 Mbps, Hops=1
Seq 76: 15→1, BW=13.0 Mbps, Hops=3
Seq 77: 18→12, BW=13.0 Mbps, Hops=4
Seq 78: 20→4, BW=8.0 Mbps, Hops=4
Seq 79: 10→21, BW=9.0 Mbps, Hops=3
Seq 80: 10→19, BW=6.0 Mbps, Hops=3
Seq 81: 1→23, BW=8.0 Mbps, Hops=5
Seq 82: 12→0, BW=7.0 Mbps, Hops=5
Seq 83: 21→12, BW=9.0 Mbps, Hops=4
Seq 84: 16→18, BW=14.0 Mbps, Hops=3
Seq 85: 1→8, BW=11.0 Mbps, Hops=3
Seq 86: 2→17, BW=13.0 Mbps, Hops=1
Seq 87: 16→23, BW=11.0 Mbps, Hops=4
Seq 88: 13→14, BW=10.0 Mbps, Hops=2
Seq 89: 0→6, BW=14.0 Mbps, Hops=1
Seq 90: 9→22, BW=14.0 Mbps, Hops=1
Seq 91: 22→16, BW=4.0 Mbps, Hops=3
Seq 92: 14→11, BW=11.0 Mbps, Hops=1
Seq 93: 21→8, BW=16.0 Mbps, Hops=4
Seq 94: 17→1, BW=9.0 Mbps, Hops=3
Seq 95: 20→17, BW=13.0 Mbps, Hops=1
Seq 96: 22→7, BW=8.0 Mbps, Hops=3
Seq 97: 11→12, BW=12.0 Mbps, Hops=1
Seq 98: 5→12, BW=8.0 Mbps, Hops=3
Seq 99: 16→7, BW=10.0 Mbps, Hops=3
Seq 100: 22→14, BW=11.0 Mbps, Hops=3
Seq 101: 14→23, BW=12.0 Mbps, Hops=4
Seq 102: 15→5, BW=9.0 Mbps, Hops=3
Seq 103: 19→13, BW=9.0 Mbps, Hops=2
Seq 104: 24→23, BW=11.0 Mbps, Hops=1
Seq 105: 0→6, BW=10.0 Mbps, Hops=1
Seq 106: 22→20, BW=9.0 Mbps, Hops=2
Seq 107: 9→19, BW=12.0 Mbps, Hops=3
Seq 108: 5→19, BW=13.0 Mbps, Hops=4
Seq 109: 7→3, BW=12.0 Mbps, Hops=2
Seq 110: 1→5, BW=7.0 Mbps, Hops=3
Seq 111: 19→6, BW=10.0 Mbps, Hops=3
Seq 112: 6→8, BW=7.0 Mbps, Hops=2
Seq 113: 0→3, BW=10.0 Mbps, Hops=2
Seq 114: 12→3, BW=11.0 Mbps, Hops=4
Seq 115: 22→7, BW=15.0 Mbps, Hops=4
Seq 116: 7→14, BW=8.0 Mbps, Hops=2
Seq 117: 7→17, BW=11.0 Mbps, Hops=3
Seq 118: 18→13, BW=10.0 Mbps, Hops=2
Seq 119: 1→21, BW=7.0 Mbps, Hops=3
Seq 120: 1→20, BW=12.0 Mbps, Hops=3
Seq 121: 1→24, BW=9.0 Mbps, Hops=5
Seq 122: 12→13, BW=9.0 Mbps, Hops=3
Seq 123: 8→22, BW=12.0 Mbps, Hops=2
Seq 124: 6→0, BW=11.0 Mbps, Hops=1
Seq 125: 19→24, BW=16.0 Mbps, Hops=4
Seq 126: 2→22, BW=12.0 Mbps, Hops=2
Seq 127: 10→7, BW=10.0 Mbps, Hops=4
Seq 128: 21→8, BW=17.0 Mbps, Hops=3
Seq 129: 14→16, BW=8.0 Mbps, Hops=3
Seq 130: 2→1, BW=5.0 Mbps, Hops=2
Seq 131: 21→7, BW=9.0 Mbps, Hops=3
Seq 132: 15→5, BW=12.0 Mbps, Hops=3
Seq 133: 8→4, BW=9.0 Mbps, Hops=2
Seq 134: 1→5, BW=6.0 Mbps, Hops=4
Seq 135: 16→1, BW=11.0 Mbps, Hops=3
Seq 136: 2→10, BW=12.0 Mbps, Hops=4
Seq 137: 20→16, BW=10.0 Mbps, Hops=2
Seq 138: 2→16, BW=11.0 Mbps, Hops=1
Seq 139: 10→20, BW=8.0 Mbps, Hops=4
Seq 140: 22→19, BW=8.0 Mbps, Hops=2
Seq 141: 9→1, BW=10.0 Mbps, Hops=3
Seq 142: 1→19, BW=12.0 Mbps, Hops=4
Seq 143: 22→9, BW=10.0 Mbps, Hops=1
Seq 144: 10→1, BW=7.0 Mbps, Hops=6
Seq 145: 14→11, BW=9.0 Mbps, Hops=1
Seq 146: 16→17, BW=7.0 Mbps, Hops=1
Seq 147: 14→13, BW=10.0 Mbps, Hops=2
