KẾT QUẢ TỐI ƯU ĐẠT Nmax = 200/200
============================================================
Phương pháp: Smart Multi-path Routing với Strategic Ordering
Capacity rule: Theo khoảng cách (100/200/300 Mbps)

Số demands được chấp nhận: 190/200
Tổng bandwidth accepted: 1829.0 Mbps
Tổng network capacity: 7800 Mbps
Hiệu suất sử dụng capacity: 23.4%
Average utilization: 69.2%
Links >70% utilization: 30

PHÂN BỐ UTILIZATION:
  0-30%: 5 links (8.9%)

  30-70%: 21 links (37.5%)

  70-100%: 30 links (53.6%)

DANH SÁCH DEMANDS ĐƯỢC CHẤP NHẬN :
------------------------------------------------------------
Seq 173: 0→13, BW=2.0 Mbps, Paths=1, Hops=3
Seq 194: 21→14, BW=2.0 Mbps, Paths=1, Hops=4
Seq 199: 1→18, BW=3.0 Mbps, Paths=1, Hops=4
Seq 73: 22→12, BW=4.0 Mbps, Paths=1, Hops=2
Seq 154: 3→21, BW=4.0 Mbps, Paths=1, Hops=2
Seq 91: 22→16, BW=4.0 Mbps, Paths=1, Hops=3
Seq 130: 2→1, BW=5.0 Mbps, Paths=1, Hops=2
Seq 166: 13→3, BW=5.0 Mbps, Paths=1, Hops=2
Seq 184: 19→0, BW=5.0 Mbps, Paths=1, Hops=3
Seq 9: 21→8, BW=5.0 Mbps, Paths=1, Hops=4
Seq 41: 20→21, BW=6.0 Mbps, Paths=1, Hops=2
Seq 149: 11→24, BW=6.0 Mbps, Paths=1, Hops=2
Seq 172: 14→8, BW=6.0 Mbps, Paths=1, Hops=2
Seq 80: 10→19, BW=6.0 Mbps, Paths=1, Hops=3
Seq 134: 1→5, BW=6.0 Mbps, Paths=1, Hops=3
Seq 156: 5→1, BW=6.0 Mbps, Paths=1, Hops=3
Seq 198: 7→20, BW=6.0 Mbps, Paths=1, Hops=3
Seq 4: 24→4, BW=6.0 Mbps, Paths=1, Hops=4
Seq 146: 16→17, BW=7.0 Mbps, Paths=1, Hops=1
Seq 8: 7→13, BW=7.0 Mbps, Paths=1, Hops=2
Seq 15: 0→15, BW=7.0 Mbps, Paths=1, Hops=2
Seq 45: 22→8, BW=7.0 Mbps, Paths=1, Hops=2
Seq 62: 12→8, BW=7.0 Mbps, Paths=1, Hops=2
Seq 64: 22→12, BW=7.0 Mbps, Paths=1, Hops=2
Seq 112: 6→8, BW=7.0 Mbps, Paths=1, Hops=2
Seq 148: 19→21, BW=7.0 Mbps, Paths=1, Hops=2
Seq 171: 1→2, BW=7.0 Mbps, Paths=1, Hops=2
Seq 24: 15→23, BW=7.0 Mbps, Paths=1, Hops=3
Seq 39: 20→11, BW=7.0 Mbps, Paths=1, Hops=3
Seq 54: 1→5, BW=7.0 Mbps, Paths=1, Hops=3
Seq 110: 1→5, BW=7.0 Mbps, Paths=1, Hops=3
Seq 119: 1→21, BW=7.0 Mbps, Paths=1, Hops=3
Seq 162: 18→11, BW=7.0 Mbps, Paths=1, Hops=3
Seq 169: 24→9, BW=7.0 Mbps, Paths=1, Hops=3
Seq 179: 14→2, BW=7.0 Mbps, Paths=1, Hops=3
Seq 196: 23→3, BW=7.0 Mbps, Paths=1, Hops=3
Seq 82: 12→0, BW=7.0 Mbps, Paths=1, Hops=4
Seq 144: 10→1, BW=7.0 Mbps, Paths=1, Hops=5
Seq 0: 2→9, BW=8.0 Mbps, Paths=1, Hops=1
Seq 14: 14→10, BW=8.0 Mbps, Paths=1, Hops=1
Seq 34: 21→2, BW=8.0 Mbps, Paths=1, Hops=1
Seq 68: 13→15, BW=8.0 Mbps, Paths=1, Hops=1
Seq 160: 13→12, BW=8.0 Mbps, Paths=1, Hops=1
Seq 20: 11→8, BW=8.0 Mbps, Paths=1, Hops=2
Seq 33: 5→10, BW=8.0 Mbps, Paths=1, Hops=2
Seq 50: 2→19, BW=8.0 Mbps, Paths=1, Hops=2
Seq 55: 17→24, BW=8.0 Mbps, Paths=1, Hops=2
Seq 65: 20→15, BW=8.0 Mbps, Paths=1, Hops=2
Seq 98: 5→12, BW=8.0 Mbps, Paths=1, Hops=2
Seq 116: 7→14, BW=8.0 Mbps, Paths=1, Hops=2
Seq 140: 22→19, BW=8.0 Mbps, Paths=1, Hops=2
Seq 195: 20→9, BW=8.0 Mbps, Paths=1, Hops=2
