=== BÁO CÁO TỐI ƯU HÓA MẠNG AT&T ===

1. Tổng số demands chấp nhận (N_max): 200/200
2. Hiệu suất sử dụng Capacity trung bình: 76.20%

3. Phân bố Utilization các liên kết:
   - Nhóm 0-30%: 4 liên kết
   - Nhóm 30-70%: 20 liên kết
   - Nhóm 70-100%: 32 liên kết

4. Danh sách Demands và Tuyến đường (Paths):
Seq   | Source  | Target  | BW      | Path
--------------------------------------------------------------------------------
173   | 0       | 13      | 2.0     | 0 -> 7 -> 5 -> 13
194   | 21      | 14      | 2.0     | 21 -> 15 -> 13 -> 10 -> 14
199   | 1       | 18      | 3.0     | 1 -> 0 -> 2 -> 21 -> 18
73    | 22      | 12      | 4.0     | 22 -> 24 -> 12
91    | 22      | 16      | 4.0     | 22 -> 21 -> 15 -> 16
154   | 3       | 21      | 4.0     | 3 -> 2 -> 21
9     | 21      | 8       | 5.0     | 21 -> 15 -> 16 -> 9 -> 8
130   | 2       | 1       | 5.0     | 2 -> 0 -> 1
166   | 13      | 3       | 5.0     | 13 -> 9 -> 3
184   | 19      | 0       | 5.0     | 19 -> 20 -> 2 -> 0
4     | 24      | 4       | 6.0     | 24 -> 12 -> 13 -> 5 -> 4
41    | 20      | 21      | 6.0     | 20 -> 17 -> 21
80    | 10      | 19      | 6.0     | 10 -> 13 -> 17 -> 19
134   | 1       | 5       | 6.0     | 1 -> 6 -> 7 -> 5
149   | 11      | 24      | 6.0     | 11 -> 12 -> 24
156   | 5       | 1       | 6.0     | 5 -> 7 -> 0 -> 1
172   | 14      | 8       | 6.0     | 14 -> 5 -> 8
198   | 7       | 20      | 6.0     | 7 -> 6 -> 2 -> 20
8     | 7       | 13      | 7.0     | 7 -> 4 -> 5 -> 13
15    | 0       | 15      | 7.0     | 0 -> 2 -> 15
24    | 15      | 23      | 7.0     | 15 -> 21 -> 22 -> 23
39    | 20      | 11      | 7.0     | 20 -> 17 -> 13 -> 11
45    | 22      | 8       | 7.0     | 22 -> 9 -> 8
54    | 1       | 5       | 7.0     | 1 -> 6 -> 7 -> 5
62    | 12      | 8       | 7.0     | 12 -> 13 -> 8
64    | 22      | 12      | 7.0     | 22 -> 24 -> 12
82    | 12      | 0       | 7.0     | 12 -> 13 -> 9 -> 3 -> 6 -> 0
110   | 1       | 5       | 7.0     | 1 -> 0 -> 7 -> 4 -> 5
112   | 6       | 8       | 7.0     | 6 -> 3 -> 8
119   | 1       | 21      | 7.0     | 1 -> 6 -> 2 -> 21
144   | 10      | 1       | 7.0     | 10 -> 14 -> 5 -> 7 -> 6 -> 0 -> 1
146   | 16      | 17      | 7.0     | 16 -> 17
148   | 19      | 21      | 7.0     | 19 -> 17 -> 18 -> 21
162   | 18      | 11      | 7.0     | 18 -> 17 -> 13 -> 11
169   | 24      | 9       | 7.0     | 24 -> 12 -> 13 -> 9
171   | 1       | 2       | 7.0     | 1 -> 0 -> 2
179   | 14      | 2       | 7.0     | 14 -> 5 -> 9 -> 2
196   | 23      | 3       | 7.0     | 23 -> 22 -> 9 -> 3
0     | 2       | 9       | 8.0     | 2 -> 9
14    | 14      | 10      | 8.0     | 14 -> 10
20    | 11      | 8       | 8.0     | 11 -> 13 -> 8
33    | 5       | 10      | 8.0     | 5 -> 14 -> 10
34    | 21      | 2       | 8.0     | 21 -> 2
50    | 2       | 19      | 8.0     | 2 -> 20 -> 19
55    | 17      | 24      | 8.0     | 17 -> 22 -> 24
61    | 23      | 2       | 8.0     | 23 -> 22 -> 9 -> 2
65    | 20      | 15      | 8.0     | 20 -> 17 -> 15
67    | 19      | 5       | 8.0     | 19 -> 20 -> 2 -> 9 -> 5
68    | 13      | 15      | 8.0     | 13 -> 15
78    | 20      | 4       | 8.0     | 20 -> 2 -> 6 -> 7 -> 4
81    | 1       | 23      | 8.0     | 1 -> 6 -> 3 -> 9 -> 22 -> 23
